pipeline,pca_components,autoencoder_bottleneck,autoencoder_train_time_seconds,accuracy,lstm_train_time_seconds,evaluation_time_seconds
Pure PCA (128),128,,,0.8816975951194763,63.99553966522217,6.541759014129639
PCA(200) + AE(128),200,128,122.78063297271729,0.8710875511169434,56.95887041091919,1.8807604312896729
PCA(300) + AE(128),300,128,8.513828992843628,0.692307710647583,61.090657472610474,1.8784797191619873
PCA(500) + AE(128),500,128,14.3673677444458,0.6785145998001099,65.92178654670715,3.0693345069885254
