seed,dataset,method,training_fraction,micro_f1,macro_f1,example_f1,hamming_loss,average_precision,label_ranking_loss,subset_accuracy,hamming_accuracy,precision_at_1,precision_at_3,precision_at_5,elapsed_seconds
24529,synthetic_multilabel,one_vs_rest_logistic,0.1,0.4318497913769124,0.3161297169919883,0.41688882228882235,0.2723333333333333,0.37865603876367776,0.2537879329004329,0.032,0.7276666666666667,0.61,0.47133333333333327,0.3960000000000001,0.0618
24529,synthetic_multilabel,one_vs_rest_logistic,0.5,0.5043653458697113,0.429081787308337,0.5035518814518815,0.246,0.47738801666519093,0.19929345839345838,0.056,0.754,0.726,0.528,0.43360000000000004,0.0675
24529,synthetic_multilabel,one_vs_rest_logistic,1.0,0.5475364330326162,0.4756005154156535,0.5600467532467532,0.21733333333333332,0.5342892850661259,0.16784161856661853,0.07,0.7826666666666666,0.794,0.5713333333333332,0.4516,0.0881
24529,synthetic_multilabel,mlp_multilabel,0.1,0.28058252427184466,0.14874542641804442,0.2757018759018759,0.247,0.39584114095852124,0.2585470478595479,0.046,0.753,0.562,0.4746666666666666,0.40120000000000006,0.1233
24529,synthetic_multilabel,mlp_multilabel,0.5,0.5307161032351873,0.4467645326713041,0.5488563547563546,0.21516666666666667,0.5260515528161577,0.18757997234247234,0.104,0.7848333333333333,0.754,0.5526666666666666,0.43920000000000003,0.3055
24529,synthetic_multilabel,mlp_multilabel,1.0,0.5550992470910335,0.46810152537584265,0.5754725829725831,0.21666666666666667,0.5453337999867635,0.17564702982202982,0.096,0.7833333333333333,0.772,0.5633333333333332,0.4464,0.7142
24529,synthetic_multilabel,vae_multilabel,0.1,0.05980861244019139,0.0325107122645323,0.047431746031746026,0.262,0.2757492054223775,0.33269022366522366,0.004,0.738,0.4,0.3973333333333333,0.35840000000000005,0.2184
24529,synthetic_multilabel,vae_multilabel,0.5,0.2622309197651663,0.14609542785359161,0.24374603174603174,0.25133333333333335,0.34498509423375395,0.29799690355940356,0.05,0.7486666666666666,0.542,0.43466666666666665,0.3704000000000001,0.7651
24529,synthetic_multilabel,vae_multilabel,1.0,0.4091090691170595,0.28386571438299507,0.4195496392496392,0.2465,0.4044089104376399,0.26761727994227996,0.06,0.7535000000000001,0.65,0.4633333333333333,0.3792000000000001,0.9773
24529,synthetic_multilabel,cgmvae_full,0.1,0.0,0.0,0.0,0.2605,0.26087422407975364,0.344555278980279,0.0,0.7395,0.406,0.3853333333333333,0.366,0.4117
24529,synthetic_multilabel,cgmvae_full,0.5,0.0,0.0,0.0,0.2605,0.260528326570007,0.32214003727753726,0.0,0.7395,0.406,0.4073333333333333,0.3708000000000001,0.9208
24529,synthetic_multilabel,cgmvae_full,1.0,0.0,0.0,0.0,0.2605,0.2678639285826235,0.3239218193843194,0.0,0.7395,0.434,0.406,0.37000000000000005,2.0462
24529,synthetic_multilabel,cgmvae_no_contrastive,0.1,0.0,0.0,0.0,0.2605,0.2729547659677196,0.3648916245791246,0.0,0.7395,0.366,0.3486666666666666,0.334,0.2389
24529,synthetic_multilabel,cgmvae_no_contrastive,0.5,0.0,0.0,0.0,0.2605,0.2763651787665599,0.33019185305435306,0.0,0.7395,0.44,0.4073333333333333,0.3708,1.2797
24529,synthetic_multilabel,cgmvae_no_contrastive,1.0,0.0,0.0,0.0,0.2605,0.2670409582052309,0.3290040824915825,0.0,0.7395,0.44,0.4073333333333333,0.3708,2.0652
24529,synthetic_multilabel,cgmvae_no_mixture,0.1,0.0,0.0,0.0,0.2605,0.29222596434019926,0.3200743867243867,0.0,0.7395,0.476,0.4126666666666666,0.36760000000000004,0.1616
24529,synthetic_multilabel,cgmvae_no_mixture,0.5,0.27348643006263046,0.2051742378259649,0.29560000000000003,0.232,0.45576000245950604,0.23028822751322753,0.106,0.768,0.69,0.4873333333333333,0.41280000000000006,0.6027
24529,synthetic_multilabel,cgmvae_no_mixture,1.0,0.27058206607236496,0.21016664456922216,0.3028095238095238,0.23183333333333334,0.46819286276020927,0.20984790163540162,0.114,0.7681666666666667,0.71,0.5233333333333332,0.42760000000000004,1.5848
24529,synthetic_image_multilabel,one_vs_rest_logistic,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.0356
24529,synthetic_image_multilabel,one_vs_rest_logistic,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.0378
24529,synthetic_image_multilabel,one_vs_rest_logistic,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.0488
24529,synthetic_image_multilabel,mlp_multilabel,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.0821
24529,synthetic_image_multilabel,mlp_multilabel,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.327
24529,synthetic_image_multilabel,mlp_multilabel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.6159
24529,synthetic_image_multilabel,cnn_multilabel,0.1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.1474
24529,synthetic_image_multilabel,cnn_multilabel,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,0.5248
24529,synthetic_image_multilabel,cnn_multilabel,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.652,0.39120000000000005,1.001
24529,synthetic_image_multilabel,vae_multilabel,0.1,0.9686520376175548,0.9659962785938743,0.9715999999999999,0.02,0.9977468575819531,0.0002222222222222222,0.884,0.98,1.0,0.6513333333333332,0.39120000000000005,0.1311
24529,synthetic_image_multilabel,vae_multilabel,0.5,0.9969293756397134,0.9968205410947261,0.9970666666666667,0.002,0.9999818953984763,0.0,0.988,0.998,1.0,0.652,0.39120000000000005,0.4892
24529,synthetic_image_multilabel,vae_multilabel,1.0,0.9989764585465711,0.9990040046696517,0.9992000000000001,0.0006666666666666666,0.9999950502890632,0.0,0.996,0.9993333333333333,1.0,0.652,0.39120000000000005,0.9406
24529,synthetic_image_multilabel,cgmvae_full,0.1,0.0,0.0,0.0,0.326,0.36197575795784925,0.4613555555555556,0.0,0.6739999999999999,0.368,0.354,0.334,0.2086
24529,synthetic_image_multilabel,cgmvae_full,0.5,0.0,0.0,0.0,0.326,0.6457336263596454,0.1799555555555556,0.0,0.6739999999999999,0.802,0.49933333333333324,0.37239999999999995,0.7823
24529,synthetic_image_multilabel,cgmvae_full,1.0,0.24686940966010734,0.23401423402073598,0.22893333333333335,0.2806666666666667,0.849062169729653,0.06596666666666667,0.16,0.7193333333333334,0.93,0.5793333333333334,0.3876,1.533
24529,synthetic_image_multilabel,cgmvae_no_contrastive,0.1,0.0,0.0,0.0,0.326,0.35816149267561515,0.4940833333333334,0.0,0.6739999999999999,0.302,0.3373333333333333,0.32639999999999997,0.1916
24529,synthetic_image_multilabel,cgmvae_no_contrastive,0.5,0.0,0.0,0.0,0.326,0.3611795290885549,0.47385000000000005,0.0,0.6739999999999999,0.338,0.3499999999999999,0.33120000000000005,0.7566
24529,synthetic_image_multilabel,cgmvae_no_contrastive,1.0,0.32019704433497537,0.22703558313283523,0.2623333333333333,0.276,0.5263911647391155,0.27823333333333333,0.088,0.724,0.622,0.436,0.3768000000000001,1.4351
24529,synthetic_image_multilabel,cgmvae_no_mixture,0.1,0.9549266247379455,0.9538695843748156,0.9567333333333333,0.028666666666666667,0.990822876250562,0.0,0.85,0.9713333333333334,1.0,0.652,0.39120000000000005,0.1585
