seed,dataset,method,pairwise_distance_distortion,distance_rank_correlation,knn_overlap,trustworthiness,continuity,neighborhood_hit,silhouette_score,class_consistency,elapsed_seconds,error
24529,mnist_local,pca_2d,0.37087011337280273,0.5227761007356161,0.13799999999999998,0.7536759545923633,0.7536763673890609,0.3617142857142857,-0.0006452465313486755,0.40714285714285714,0.4992,
24529,mnist_local,gaussian_random_projection_32,0.10181663185358047,0.7112538224170463,0.4665714285714286,0.9369766769865842,0.9369766769865842,0.5484285714285714,0.011447560042142868,0.7285714285714285,0.1063,
24529,mnist_local,sparse_random_projection_32,0.10470703989267349,0.6547829901601141,0.4592857142857143,0.9264198142414861,0.9264198142414861,0.5385714285714286,0.002643733751028776,0.6942857142857143,0.095,
24529,mnist_local,tsne_2d,0.3624890446662903,0.42489916745369055,0.44728571428571423,0.9321964912280701,0.9321964912280701,0.8005714285714285,0.2833214998245239,0.8714285714285714,2.8433,
24529,mnist_local,umap_2d,,,,,,,,,0.2463,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24529,mnist_local,autoencoder_2d,0.506430447101593,0.5647569422424639,0.28485714285714286,0.8602456140350877,0.8602456140350877,0.5062857142857142,-0.038582053035497665,0.59,1.7389,
24529,mnist_local,vae_2d,0.384845107793808,0.5985029275929687,0.17685714285714288,0.7698076367389061,0.7698076367389061,0.38014285714285717,-0.031978216022253036,0.4642857142857143,1.4621,
24529,mnist_local,cnn_autoencoder_2d,0.409968763589859,0.5565403917763895,0.22800000000000004,0.8170968008255934,0.8170968008255934,0.41671428571428576,-0.05697523429989815,0.5242857142857142,2.8892,
24529,twenty_newsgroups,pca_2d,0.7298783054636888,0.08634237771886714,0.01742857142857143,0.5998802889576883,0.6014749226006192,0.48057142857142854,-0.05544643786096326,0.5485714285714286,0.3498,
24529,twenty_newsgroups,gaussian_random_projection_32,0.09983849701781938,0.26604482202816904,0.3274285714285714,0.9012908152734778,0.9018406604747162,0.3142857142857143,-0.003971380197576271,0.3842857142857143,0.3455,
24529,twenty_newsgroups,sparse_random_projection_32,0.16483340926492257,0.2035996908940943,0.12942857142857142,0.6704202270381836,0.710239834881321,0.30642857142857144,-0.01496697438083132,0.37285714285714283,0.338,
24529,twenty_newsgroups,tsne_2d,0.4140348403721999,0.10168337676476501,0.046714285714285715,0.6021799793601651,0.6012697626418988,0.4567142857142857,-0.016764191910624504,0.4957142857142857,2.5905,
24529,twenty_newsgroups,umap_2d,,,,,,,,,0.0011,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24529,twenty_newsgroups,autoencoder_2d,0.6359070668534872,0.014981525976256915,0.041857142857142864,0.6660177502579979,0.6670059855521155,0.7038571428571428,0.017062047496438026,0.7557142857142857,1.758,
24529,twenty_newsgroups,vae_2d,0.5447565330520386,0.023666990600112448,0.02214285714285714,0.5062092879256965,0.5092970072239422,0.2695714285714286,-0.046027231961488724,0.31857142857142856,1.8518,
24529,digits_clean,pca_2d,0.3387470245361328,0.5722841092436981,0.18914285714285714,0.8258245614035088,0.8258274509803921,0.5395714285714286,0.10664395987987518,0.6114285714285714,0.0418,
24529,digits_clean,gaussian_random_projection_32,0.09546902030706406,0.7645541736395086,0.6948571428571428,0.9897737874097007,0.9897754385964912,0.8578571428571429,0.1270574927330017,0.9285714285714286,0.0453,
24529,digits_clean,sparse_random_projection_32,0.10382423549890518,0.7782049312259635,0.6922857142857143,0.9890951496388029,0.9890666666666666,0.8761428571428571,0.13508279621601105,0.9471428571428572,0.0398,
24529,digits_clean,tsne_2d,0.35281872749328613,0.5247931983184967,0.6238571428571429,0.9789263157894736,0.9789230134158927,0.9665714285714286,0.5579423308372498,0.9771428571428571,1.3194,
24529,digits_clean,umap_2d,,,,,,,,,0.0012,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24529,digits_clean,autoencoder_2d,0.4532114267349243,0.5298893726242349,0.2581428571428571,0.9084895768833849,0.9084809081527347,0.6535714285714286,0.07434428483247757,0.7471428571428571,0.4368,
24529,digits_clean,vae_2d,0.3826773166656494,0.5832447967595412,0.23742857142857146,0.888875128998968,0.8888606811145511,0.6184285714285714,0.13567997515201569,0.6985714285714286,0.6221,
24529,digits_clean,cnn_autoencoder_2d,0.4512133300304413,0.5479136786455777,0.1955714285714286,0.8274724458204334,0.8274679050567595,0.5569999999999999,0.04930021986365318,0.6471428571428571,0.7968,
24529,digits_noisy,pca_2d,0.3474710696565181,0.5655113999114485,0.19214285714285714,0.8319698658410732,0.8319698658410732,0.5355714285714286,0.09347368534716578,0.6071428571428571,0.049,
24529,digits_noisy,gaussian_random_projection_32,0.09858993449351473,0.7375856060548629,0.6302857142857143,0.9838381836945305,0.9838381836945305,0.8317142857142857,0.11174455582667416,0.9114285714285715,0.0508,
24529,digits_noisy,sparse_random_projection_32,0.11023931407300924,0.726234907660004,0.5885714285714285,0.9777374613003096,0.9777374613003096,0.7934285714285714,0.10205782474801067,0.9,0.0461,
24529,digits_noisy,tsne_2d,0.3552750386969784,0.4957751360492121,0.5814285714285714,0.9771232198142414,0.9771232198142414,0.9534285714285715,0.5291710495948792,0.9628571428571429,1.6143,
24529,digits_noisy,umap_2d,,,,,,,,,0.0012,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24529,digits_noisy,autoencoder_2d,0.41260117546930813,0.5539019850006525,0.27014285714285713,0.9229391124871001,0.9229391124871001,0.7351428571428572,0.17779073119163513,0.8128571428571428,0.7135,
24529,digits_noisy,vae_2d,0.3685779571224778,0.6305604127456141,0.2651428571428571,0.9063298245614035,0.9063298245614035,0.6665714285714286,0.14008618891239166,0.7485714285714286,0.7202,
24529,digits_noisy,cnn_autoencoder_2d,0.36226428051238624,0.5418255384039731,0.20957142857142855,0.8615248710010319,0.861524871001032,0.6081428571428571,0.15867194533348083,0.6742857142857143,1.5829,
24530,mnist_local,pca_2d,0.38048622012138367,0.5003640530806822,0.13414285714285712,0.7225477812177503,0.7225477812177503,0.3302857142857143,-0.0012577982852235436,0.37,0.0989,
24530,mnist_local,gaussian_random_projection_32,0.09665444493293762,0.7396213965002169,0.48028571428571437,0.9468594427244582,0.9468594427244582,0.5670000000000001,0.01782459206879139,0.7128571428571429,0.0957,
24530,mnist_local,sparse_random_projection_32,0.09450628608465195,0.7445853225592796,0.4859999999999999,0.9432396284829722,0.9432396284829722,0.5627142857142857,0.014644511044025421,0.6914285714285714,0.1018,
24530,mnist_local,tsne_2d,0.36276376247406006,0.44095500573352936,0.4658571428571429,0.9331025799793602,0.9331025799793602,0.8314285714285714,0.29937416315078735,0.88,2.8712,
24530,mnist_local,umap_2d,,,,,,,,,0.0012,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24530,mnist_local,autoencoder_2d,0.46517929434776306,0.4043893733163208,0.2775714285714286,0.8559261093911249,0.8559265221878225,0.5145714285714287,-0.05936277285218239,0.6,1.3472,
24530,mnist_local,vae_2d,0.39444729685783386,0.5159506903514889,0.1905714285714286,0.7875975232198142,0.7875975232198142,0.37714285714285717,-0.012205180712044239,0.44857142857142857,1.4757,
24530,mnist_local,cnn_autoencoder_2d,0.4280918836593628,0.5332903207441569,0.22657142857142856,0.8193143446852424,0.8193143446852426,0.39528571428571435,-0.05057195574045181,0.48428571428571426,2.835,
24530,twenty_newsgroups,pca_2d,0.7348117892449563,0.09307283476248751,0.04114285714285714,0.6146654282765738,0.6152957688338494,0.5292857142857142,-0.04026948544307092,0.6185714285714285,0.3299,
24530,twenty_newsgroups,gaussian_random_projection_32,0.0988438767630038,0.2766601676896013,0.3818571428571429,0.8911950464396284,0.8905465428276573,0.311,-0.004484804632602709,0.3757142857142857,0.3235,
24530,twenty_newsgroups,sparse_random_projection_32,0.15603380978070644,0.2131570727648658,0.20142857142857143,0.6632392156862745,0.6453432404540764,0.32185714285714284,-0.011050241437890431,0.37857142857142856,0.3302,
24530,twenty_newsgroups,tsne_2d,0.4056370658029254,0.08647013713721703,0.04285714285714286,0.5980305469556244,0.596494943240454,0.4658571428571429,-0.0077134594321250916,0.5385714285714286,2.665,
24530,twenty_newsgroups,umap_2d,,,,,,,,,0.0012,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24530,twenty_newsgroups,autoencoder_2d,0.6443857289601925,0.02124561192319571,0.02971428571428571,0.6570732714138287,0.6564759545923633,0.7384285714285714,0.15194423496723175,0.7871428571428571,1.8499,
24530,twenty_newsgroups,vae_2d,0.5110667827740664,0.04671730191480204,0.022714285714285718,0.5119644994840041,0.5133011351909185,0.2655714285714285,-0.04518941789865494,0.27285714285714285,1.9397,
24530,digits_clean,pca_2d,0.3366575539112091,0.5852637788450166,0.19271428571428575,0.8279153766769866,0.8279261093911249,0.5508571428571429,0.11262764036655426,0.6357142857142857,0.0446,
24530,digits_clean,gaussian_random_projection_32,0.09667520970106125,0.7639852746028846,0.6848571428571428,0.9874117647058823,0.9874175438596491,0.872,0.14101611077785492,0.9357142857142857,0.047,
24530,digits_clean,sparse_random_projection_32,0.10008641332387924,0.7712282560698815,0.6971428571428572,0.990566769865841,0.9905630546955624,0.8888571428571429,0.14975391328334808,0.95,0.0407,
24530,digits_clean,tsne_2d,0.34958961606025696,0.5057477715584654,0.6234285714285714,0.9831463364293086,0.9831409700722394,0.9724285714285715,0.5747954845428467,0.9728571428571429,1.6625,
24530,digits_clean,umap_2d,,,,,,,,,0.0027,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24530,digits_clean,autoencoder_2d,0.47988465428352356,0.4952049464182103,0.27085714285714285,0.9225614035087719,0.9225576883384933,0.6968571428571428,0.08447366952896118,0.7814285714285715,0.6997,
24530,digits_clean,vae_2d,0.38971373438835144,0.5512258735666445,0.24471428571428572,0.8997634674922601,0.8997746130030959,0.622,0.07136383652687073,0.6742857142857143,0.6657,
24530,digits_clean,cnn_autoencoder_2d,0.3649393916130066,0.6404000500265312,0.21885714285714283,0.8822357069143447,0.8822410732714139,0.5880000000000001,0.12798167765140533,0.6614285714285715,1.5175,
24530,digits_noisy,pca_2d,0.3486634638911027,0.5679255728336426,0.19385714285714284,0.822594427244582,0.822594427244582,0.5544285714285715,0.10330794744351103,0.6271428571428571,0.0425,
24530,digits_noisy,gaussian_random_projection_32,0.09779789732562065,0.7209734480058185,0.6324285714285715,0.9784544891640867,0.9784544891640867,0.8234285714285714,0.10923451990280089,0.9285714285714286,0.0444,
24530,digits_noisy,sparse_random_projection_32,0.09712076826794906,0.7798268829695734,0.634,0.9840462332301342,0.9840462332301342,0.8427142857142859,0.13158508662348933,0.91,0.0436,
24530,digits_noisy,tsne_2d,0.35586741197481464,0.5016632294927355,0.5824285714285714,0.9772346749226006,0.9772346749226006,0.9511428571428571,0.5328238010406494,0.9657142857142857,1.4874,
24530,digits_noisy,umap_2d,,,,,,,,,0.0013,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24530,digits_noisy,autoencoder_2d,0.3724948634334167,0.6029031650092157,0.30142857142857143,0.932956862745098,0.932956862745098,0.7128571428571429,0.14372454583644867,0.7771428571428571,0.7082,
24530,digits_noisy,vae_2d,0.3543863256099693,0.6118986378813689,0.2621428571428572,0.9129052631578948,0.9129052631578948,0.6491428571428571,0.15722663700580597,0.7057142857142857,0.4613,
24530,digits_noisy,cnn_autoencoder_2d,0.36183472262586786,0.5398357204342972,0.21728571428571433,0.8728986584107328,0.8728986584107328,0.608,0.14626869559288025,0.6957142857142857,1.1044,
24531,mnist_local,pca_2d,0.37180665135383606,0.48953121418846796,0.1412857142857143,0.7440767801857585,0.7440771929824561,0.37942857142857145,-0.0075781261548399925,0.46,0.1087,
24531,mnist_local,gaussian_random_projection_32,0.09940412640571594,0.7052583001291998,0.4727142857142857,0.9393213622291021,0.9393205366357069,0.5622857142857143,0.016554849222302437,0.7342857142857143,0.0949,
24531,mnist_local,sparse_random_projection_32,0.09788953512907028,0.7397011702657066,0.48771428571428566,0.9491364293085656,0.9491364293085656,0.5704285714285714,0.02032458782196045,0.7157142857142857,0.0954,
24531,mnist_local,tsne_2d,0.3598005771636963,0.41511209643443436,0.45485714285714285,0.929928173374613,0.929928173374613,0.8315714285714286,0.2537095546722412,0.8871428571428571,2.9169,
24531,mnist_local,umap_2d,,,,,,,,,0.0012,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24531,mnist_local,autoencoder_2d,0.49340733885765076,0.6077367529370641,0.2827142857142857,0.8730439628482972,0.8730439628482972,0.5232857142857144,-0.1189405620098114,0.6042857142857143,1.3572,
24531,mnist_local,vae_2d,0.3987773358821869,0.5381568050116673,0.199,0.7994856553147575,0.7994860681114551,0.3781428571428571,-0.03206322714686394,0.4928571428571429,1.5146,
24531,mnist_local,cnn_autoencoder_2d,0.415398508310318,0.5536380530651324,0.20871428571428574,0.8093506707946336,0.8093506707946336,0.3998571428571428,-0.0301694106310606,0.48428571428571426,4.7166,
24531,twenty_newsgroups,pca_2d,0.7285329894861252,0.0680351586402426,0.03814285714285714,0.5929015479876161,0.5955430340557275,0.5107142857142857,-0.038976192214897065,0.5728571428571428,0.3367,
24531,twenty_newsgroups,gaussian_random_projection_32,0.09849104058852207,0.2763894515713587,0.3305714285714285,0.9167327141382868,0.9182489164086687,0.30600000000000005,-0.004977710411085916,0.36142857142857143,0.3438,
24531,twenty_newsgroups,sparse_random_projection_32,0.1599607429223439,0.22309309759659093,0.15257142857142858,0.7418786377708978,0.6870369453044376,0.31985714285714284,-0.010665042717728248,0.38285714285714284,0.3341,
24531,twenty_newsgroups,tsne_2d,0.4104503170125926,0.1054367044648525,0.04257142857142857,0.5999921568627451,0.6032392156862745,0.45357142857142857,-0.00856833066791296,0.5285714285714286,2.7425,
24531,twenty_newsgroups,umap_2d,,,,,,,,,0.0015,cannot cache function 'rdist': no locator available for file '/home/alifatmi/miniconda3/envs/aiml/lib/python3.12/site-packages/umap/layouts.py'
24531,twenty_newsgroups,autoencoder_2d,0.6779767582276027,0.02864281950652526,0.040857142857142856,0.6529766769865841,0.6506930856553148,0.6741428571428572,0.03198225423693657,0.7357142857142858,2.1151,
24531,twenty_newsgroups,vae_2d,0.4773199563480266,0.03281774897660098,0.028285714285714282,0.5084623323013415,0.5062522187822498,0.2512857142857143,-0.05889948830008507,0.24428571428571427,3.124,
24531,digits_clean,pca_2d,0.3449929654598236,0.5819622526382457,0.1955714285714286,0.8394798761609907,0.8394753353973168,0.5658571428571428,0.10999637842178345,0.6371428571428571,0.0385,
