dataset,method,runs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,elapsed_seconds_mean,elapsed_seconds_std
mnist_local,pca_32,3,0.8727777777777778,0.011889408088351497,0.8721223167240834,0.012535451882517359,0.043633333333333336,4.714045207910452e-05
mnist_local,truncated_svd_32,3,0.8738888888888888,0.011331154474650655,0.8732543573977035,0.011896152511935192,0.0669,0.0034409301068170526
mnist_local,gaussian_random_projection_32,3,0.7433333333333333,0.02313406979295223,0.7422907531618272,0.02367044440133645,0.05056666666666667,0.001956754682858555
mnist_local,sparse_random_projection_32,3,0.7666666666666666,0.010628403594282756,0.7644570168252768,0.011145057615386164,0.06616666666666667,0.0124753980119095
mnist_local,autoencoder_32,3,0.8516666666666666,0.010274023338281637,0.8509881433523647,0.01000503495484587,1.3889666666666667,0.02376009726878698
mnist_local,cnn_autoencoder_32,3,0.8816666666666667,0.007576767609436574,0.8811838720416175,0.007724820006197137,1.6236333333333333,0.03815707303007165
twenty_newsgroups,pca_32,3,0.8541666666666666,0.01751280103562474,0.8533922438219194,0.0172335606585483,0.052300000000000006,0.0002943920288775947
twenty_newsgroups,truncated_svd_32,3,0.8497023809523809,0.013184557400795638,0.8485956077181568,0.014014144326551996,0.0239,0.00024494897427831773
twenty_newsgroups,gaussian_random_projection_32,3,0.4538690476190476,0.03381939933739142,0.4429417610928999,0.03590920843703733,0.007799999999999999,8.673617379884035e-19
twenty_newsgroups,sparse_random_projection_32,3,0.46428571428571425,0.021487394461597687,0.45791223661865227,0.02545671269729564,0.010566666666666667,0.0009533566430716729
twenty_newsgroups,autoencoder_32,3,0.8199404761904762,0.010037751163119064,0.817711050197024,0.010110234718485435,1.2082,0.02000549924395796
digits_clean,pca_32,3,0.9577777777777777,0.0068493488921877715,0.9580874926200433,0.006590194982804172,0.030233333333333334,0.0017745108872274887
digits_clean,truncated_svd_32,3,0.9566666666666667,0.007200822998230968,0.9568553976279057,0.006976595443912448,0.09423333333333334,0.0006599663291074459
digits_clean,gaussian_random_projection_32,3,0.93,0.016329931618554488,0.9301622112647014,0.016357904055971862,0.20223333333333335,0.09249303877710052
digits_clean,sparse_random_projection_32,3,0.9388888888888888,0.01099943881845743,0.9390053249307716,0.010927218069088229,0.2299,0.040382256829784365
digits_clean,autoencoder_32,3,0.9333333333333332,0.011863420280034804,0.9332040948638203,0.011581560347191641,0.6047666666666668,0.021971243832690862
digits_clean,cnn_autoencoder_32,3,0.9477777777777779,0.010304020550550779,0.9480500666676681,0.010272506509066947,0.6439,0.029165847607547184
digits_noisy,pca_32,3,0.9477777777777777,0.012272623352430302,0.9479619466364003,0.011773583988512533,0.03263333333333333,0.0012762793146051093
digits_noisy,truncated_svd_32,3,0.9455555555555555,0.012570787221094207,0.945619314568174,0.012334546938564124,0.16196666666666668,0.0730201037766693
digits_noisy,gaussian_random_projection_32,3,0.8877777777777777,0.012862041003100256,0.888214664546782,0.012324997392640136,0.42743333333333333,0.056429680921381176
digits_noisy,sparse_random_projection_32,3,0.9011111111111111,0.005665577237325309,0.9015608199686828,0.006421727485028196,0.34959999999999997,0.057995689494996075
digits_noisy,autoencoder_32,3,0.9077777777777777,0.00955813918560296,0.9074211404387257,0.009763927888098357,0.6364333333333333,0.012565915096888954
digits_noisy,cnn_autoencoder_32,3,0.93,0.004714045207910321,0.9302007855764778,0.004543094526189387,0.6142333333333334,0.016644985898328517
