dataset,method,training_fraction,runs,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,example_f1_mean,example_f1_std,hamming_loss_mean,hamming_loss_std,average_precision_mean,average_precision_std,label_ranking_loss_mean,label_ranking_loss_std,subset_accuracy_mean,subset_accuracy_std,hamming_accuracy_mean,hamming_accuracy_std,precision_at_1_mean,precision_at_1_std,precision_at_3_mean,precision_at_3_std,precision_at_5_mean,precision_at_5_std,elapsed_seconds_mean,elapsed_seconds_std
synthetic_multilabel,one_vs_rest_logistic,0.1,3,0.42980184579115027,0.007468272495662223,0.3326907460239316,0.0165385180219701,0.4116865578865579,0.00889312279748826,0.27655555555555555,0.003177855476905592,0.38245061272645625,0.004009890767433013,0.2639696328362995,0.01184842872073318,0.029333333333333333,0.0037712361663282535,0.7234444444444444,0.003177855476905592,0.6,0.007118052168020881,0.45955555555555555,0.017607518035146937,0.39586666666666676,0.008002221913665954,0.0652,0.00827325006673113
synthetic_multilabel,one_vs_rest_logistic,0.5,3,0.4936781774309889,0.007703250424347595,0.43000887305707475,0.015868707284173937,0.49370981240981243,0.007429489525583048,0.25438888888888894,0.007162574197577471,0.4664686046409828,0.01681775110207973,0.20878560806477472,0.006851256997379714,0.047999999999999994,0.008640987597877148,0.7456111111111111,0.007162574197577494,0.6973333333333334,0.025525586292102168,0.5186666666666667,0.008554834024408986,0.43146666666666667,0.006703896047987425,0.06453333333333333,0.0007133644853010931
synthetic_multilabel,one_vs_rest_logistic,1.0,3,0.5260468011548394,0.015201517563838668,0.4526906649234747,0.025447174627842507,0.5382187072187072,0.015450402261889732,0.22566666666666668,0.007408703590297629,0.5217918050411473,0.019898756647038215,0.17371026134359469,0.0041583450908701984,0.07066666666666667,0.0041096093353126485,0.7743333333333333,0.007408703590297636,0.7673333333333333,0.018926759422104537,0.5633333333333334,0.005760658398584696,0.45093333333333335,0.008341595903795726,0.08136666666666666,0.0009030811456096078
synthetic_multilabel,mlp_multilabel,0.1,3,0.21827002134080453,0.06917008847687585,0.12776484220267278,0.037813650393261705,0.21530909090909092,0.06330222443520571,0.2523333333333333,0.004354648431614535,0.3834523555064699,0.010368443189570302,0.261265720699054,0.004852767206975088,0.04666666666666667,0.0009428090415820641,0.7476666666666668,0.0043546484316145575,0.5833333333333334,0.021060758665241736,0.47044444444444444,0.007430334887689078,0.4061333333333334,0.008134426156090474,0.3207666666666667,0.05521360540865107
synthetic_multilabel,mlp_multilabel,0.5,3,0.5189715993687175,0.008482492179104151,0.42593006822909213,0.0204450521330189,0.5318823509823509,0.011902213098467198,0.22666666666666666,0.00887359795915618,0.5054275143447945,0.018235392386326467,0.19453818342151674,0.00588996530628162,0.078,0.019798989873223326,0.7733333333333334,0.00887359795915616,0.7486666666666667,0.005734883511361756,0.5457777777777778,0.005230489909306564,0.4385333333333334,0.007549540089009114,0.9891333333333333,0.02145449965754399
synthetic_multilabel,mlp_multilabel,1.0,3,0.5423462747852713,0.012480691870253012,0.4651771823282143,0.025999843698124896,0.5633984607984608,0.010757581365267778,0.21983333333333333,0.005784718053886725,0.5357343982807806,0.022213746840549473,0.17890560365560362,0.003747464555873466,0.09733333333333334,0.0024944382578492965,0.7801666666666667,0.00578471805388671,0.7586666666666666,0.00805536398239639,0.5575555555555556,0.006308919807368169,0.44733333333333336,0.006208238254305497,1.9510666666666667,0.054953576367289855
synthetic_multilabel,vae_multilabel,0.1,3,0.08666117310185106,0.08834128036814182,0.03393755189675771,0.030017375216993717,0.07517532467532467,0.08088091933659318,0.26861111111111113,0.010295929916209914,0.2834335173678817,0.00646243823906219,0.3254736271444605,0.01495531684314629,0.006666666666666667,0.006798692684790379,0.731388888888889,0.0102959299162099,0.41466666666666674,0.022171052197754514,0.4108888888888889,0.012236355464832205,0.3741333333333334,0.013768886019653976,0.3023666666666667,0.02371178797326107
synthetic_multilabel,vae_multilabel,0.5,3,0.29512608866157236,0.06643016685294241,0.17214778060055316,0.04134144404005784,0.2883696007696008,0.06345900188273057,0.2561666666666667,0.002585572506271149,0.3563550842361462,0.012812866025419522,0.2939042207792208,0.019287956157852462,0.042,0.011430952132988167,0.7438333333333333,0.0025855725062711747,0.5573333333333333,0.030214051182999073,0.4477777777777778,0.016369197209513697,0.3804,0.02023066978624288,1.0406666666666666,0.01887861812268638
synthetic_multilabel,vae_multilabel,1.0,3,0.4358139546089208,0.027898535617028538,0.29829762938639753,0.037063896065481064,0.44478180708180703,0.031888565315288976,0.2478888888888889,0.0018575837219222825,0.4199058835722178,0.013255691105341545,0.2687582872374539,0.016956705310530878,0.07333333333333333,0.009428090415820637,0.7521111111111112,0.001857583721922259,0.6633333333333334,0.010624918300339493,0.48266666666666663,0.015785600564602733,0.39186666666666664,0.008970073702162214,2.0551333333333335,0.052381697397299136
synthetic_multilabel,cgmvae_full,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26472222222222225,0.005168159879803446,0.27511470133376753,0.014170165417310435,0.3350419111752445,0.018574797128913908,0.0,0.0,0.7352777777777778,0.00516815987980345,0.4266666666666667,0.017613126418163864,0.39599999999999996,0.008993825042154678,0.3762666666666667,0.008886444108240877,2.4202666666666666,0.05680993653304757
