experiment,dataset,domain,condition,method,target_dim,seed,elapsed_seconds,distance_rank_correlation,knn_overlap,cosine_similarity_correlation,estimated_flops,reconstruction_mse,relative_squared_error,downstream_accuracy
image_clean,mnist_clean_reproduction,image,clean,srp,700,24531,0.022135,0.9723476374346213,0.8645714285714287,0.9671619690838682,1646400000.0,0.13232305645942688,1.1648865938186646,0.8516666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,10,24531,0.011518,0.8571087755748981,0.5774285714285715,0.699053031744274,23520000.0,0.03459101915359497,0.3045169413089752,0.7966666666666666
image_clean,mnist_clean_reproduction,image,clean,pca,25,24531,0.015968,0.9437741306398927,0.7508571428571428,0.739366851055839,58800000.0,0.020636193454265594,0.18166770040988922,0.865
image_clean,mnist_clean_reproduction,image,clean,pca,50,24531,0.024248,0.9824697934668621,0.8538571428571429,0.7465184754114575,117600000.0,0.011559291742742062,0.10176052898168564,0.875
image_clean,mnist_clean_reproduction,image,clean,pca,100,24531,0.033421,0.9963297668130817,0.9197142857142856,0.7584455147030058,235200000.0,0.005515526048839092,0.04855512082576752,0.8616666666666667
image_clean,mnist_clean_reproduction,image,clean,pca,200,24531,0.061226,0.9994130231508138,0.9701428571428572,0.7706779594548042,470400000.0,0.0020568976178765297,0.018107594922184944,0.88
image_clean,mnist_clean_reproduction,image,clean,pca,400,24531,0.131192,0.9999472105962882,0.9934285714285714,0.7415176243940209,940800000.0,0.00021862451103515923,0.0019246286246925592,0.87
image_clean,mnist_clean_reproduction,image,clean,pca,700,24531,0.096063,0.9999999945502467,0.9998571428571428,0.7750220443149025,1646400000.0,2.8831915153959553e-12,2.5381752255526635e-11,0.8816666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,10,24531,0.018968,0.6278998582041522,0.3017142857142857,0.5490545808196153,23520000.0,0.06972811371088028,0.61384117603302,0.73
image_clean,mnist_clean_reproduction,image,clean,dct,25,24531,0.018941,0.7866126475926886,0.4928571428571429,0.7524486536898429,23520000.0,0.05139870196580887,0.45248091220855713,0.8416666666666667
image_clean,mnist_clean_reproduction,image,clean,dct,50,24531,0.019473,0.9002736084846623,0.6527142857142857,0.8849775420630565,23520000.0,0.03511970490217209,0.3091711401939392,0.8966666666666666
image_clean,mnist_clean_reproduction,image,clean,dct,100,24531,0.019722,0.9678236593915865,0.7928571428571428,0.9676933109007847,23520000.0,0.018117593601346016,0.15949557721614838,0.9166666666666666
image_clean,mnist_clean_reproduction,image,clean,dct,200,24531,0.020509,0.9940301539301162,0.8988571428571429,0.9946585588450767,23520000.0,0.0073889573104679585,0.06504759937524796,0.8733333333333333
image_clean,mnist_clean_reproduction,image,clean,dct,400,24531,0.021327,0.9994263604349757,0.9637142857142859,0.9996116661945019,23520000.0,0.002441608812659979,0.021494343876838684,0.89
image_clean,mnist_clean_reproduction,image,clean,dct,700,24531,0.022324,0.9999803603977535,0.9934285714285714,0.9999924867452046,23520000.0,0.0002686706429813057,0.002365202410146594,0.8866666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,10,24532,0.002146,0.5084012046500752,0.24614285714285716,0.4816432135671262,23520000.0,9.173025131225586,81.07454681396484,0.535
image_clean,mnist_clean_reproduction,image,clean,rp,25,24532,0.002021,0.6991647367194476,0.4308571428571429,0.6251996038188831,58800000.0,2.9067530632019043,25.69094467163086,0.685
image_clean,mnist_clean_reproduction,image,clean,rp,50,24532,0.002602,0.8268455404631522,0.5834285714285714,0.7819603810329911,117600000.0,1.8437730073928833,16.29593849182129,0.815
image_clean,mnist_clean_reproduction,image,clean,rp,100,24532,0.003684,0.8829317184848988,0.6892857142857143,0.8678564916776751,235200000.0,0.9800471663475037,8.662014961242676,0.8216666666666667
image_clean,mnist_clean_reproduction,image,clean,rp,200,24532,0.006217,0.9403343925143283,0.7704285714285714,0.9255184743709861,470400000.0,0.43958616256713867,3.885223150253296,0.875
image_clean,mnist_clean_reproduction,image,clean,rp,400,24532,0.01158,0.9653644165585541,0.8317142857142857,0.9614606726730345,940800000.0,0.24509015679359436,2.166196346282959,0.885
image_clean,mnist_clean_reproduction,image,clean,rp,700,24532,0.01811,0.9785877460485684,0.8657142857142859,0.97760322285676,1646400000.0,0.1332188844680786,1.17743718624115,0.87
